ra,dec,name
37.68021,-2.93883,SN 2005A
268.70342,71.54292,SN 2005B
168.87258,60.75153,SN 2005C
111.73900,20.38150,SN 2005D
39.80975,1.09861,SN 2005E
136.22367,13.56564,SN 2005F
206.13663,4.77897,SN 2005G
32.41050,-10.14544,SN 2005H
212.51192,17.72289,SN 2005I
179.61892,10.01922,SN 2005J
144.01796,16.76300,SN 2005K
238.35800,39.38558,SN 2005L
144.38483,23.20075,SN 2005M
211.01087,-14.63022,SN 2005N
160.57633,-0.37811,SN 2005O
211.64171,-5.46183,SN 2005P
22.51462,-42.68011,SN 2005Q
168.73671,33.82658,SN 2005R
212.12017,7.05756,SN 2005S
216.57183,26.24661,SN 2005T
94.65950,78.35800,SN 2005V
27.69063,21.75989,SN 2005W
186.00313,7.77747,SN 2005X
24.40537,0.04161,SN 2005Y
161.28825,22.07731,SN 2005Z
137.01754,27.24983,SN 2005aa
190.27158,50.38228,SN 2005ab
204.98258,0.87083,SN 2005ac
37.12271,-1.13889,SN 2005ad
119.56600,-49.85553,SN 2005ae
196.18358,-49.56661,SN 2005af
224.18187,9.32847,SN 2005ag
90.19071,-58.58911,SN 2005ah
107.63650,75.35808,SN 2005ai
44.70354,75.75383,SN 2005aj
220.13358,3.51031,SN 2005ak
207.50137,-30.57617,SN 2005al
139.05196,-16.30444,SN 2005am
187.11396,-24.63400,SN 2005an
266.20683,61.90781,SN 2005ao
195.31183,27.72539,SN 2005ap
67.91175,-4.58522,SN 2005aq
168.82929,-3.77181,SN 2005ar
162.01467,-20.84903,SN 2005as
287.47342,-63.82336,SN 2005at
199.05175,30.94458,SN 2005au
311.15658,-68.75294,SN 2005av
288.82267,-54.14025,SN 2005aw
75.65879,86.22283,SN 2005ax
178.20029,44.10511,SN 2005ay
196.44571,27.73567,SN 2005az
174.42742,22.01081,SN 2005ba
194.29946,-1.70483,SN 2005bb
219.31271,38.45642,SN 2005bc
93.01458,51.86758,SN 2005bd
224.88633,16.66989,SN 2005be
155.98863,-3.19128,SN 2005bf
184.32158,16.37156,SN 2005bg
172.43333,22.12753,SN 2005bh
246.83863,39.11200,SN 2005bi
252.43642,17.86353,SN 2005bj
240.57100,42.91536,SN 2005bk
181.05108,20.40689,SN 2005bl
230.18792,36.81181,SN 2005bm
180.84963,35.32583,SN 2005bn
192.42096,-11.09647,SN 2005bo
257.43008,36.41892,SN 2005bp
211.40437,-39.20122,SN 2005bq
317.30454,-63.28489,SN 2005br
